date,item_id,inventory_level,sales,incoming_stock
2024-04-07,C303,971,14,80
2024-04-08,A101,740,77,66
2024-04-09,A101,878,15,99
2024-04-10,C303,572,56,137
2024-04-11,C303,250,64,39
2024-04-12,C303,514,49,66
2024-04-13,A101,397,61,68
2024-04-14,C303,710,25,33
2024-04-15,C303,362,22,20
2024-04-16,A101,863,39,136
2024-04-17,C303,243,28,73
2024-04-18,A101,445,26,137
2024-04-19,B202,723,72,22
2024-04-20,C303,671,28,31
2024-04-21,B202,980,67,93
2024-04-22,A101,101,64,35
2024-04-23,C303,996,99,121
2024-04-24,A101,403,99,136
2024-04-25,B202,353,71,27
2024-04-26,A101,751,32,141
2024-04-27,C303,552,18,111
2024-04-28,C303,136,21,109
2024-04-29,B202,259,10,79
2024-04-30,A101,108,67,47
2024-05-01,C303,332,10,120
2024-05-02,B202,198,43,60
2024-05-03,C303,758,57,65
2024-05-04,C303,915,98,54
2024-05-05,A101,307,10,101
2024-05-06,C303,230,25,134
2024-05-07,A101,503,70,66
2024-05-08,C303,251,73,29
2024-05-09,B202,153,72,75
2024-05-10,C303,219,78,49
2024-05-11,A101,772,31,128
2024-05-12,A101,727,76,24
2024-05-13,B202,686,85,138
2024-05-14,C303,724,35,52
2024-05-15,C303,519,25,137
2024-05-16,B202,521,60,84
2024-05-17,C303,203,95,30
2024-05-18,C303,951,66,104
2024-05-19,A101,353,38,45
2024-05-20,C303,326,87,82
2024-05-21,C303,211,78,105
2024-05-22,B202,609,56,78
2024-05-23,B202,572,71,46
2024-05-24,A101,198,78,117
2024-05-25,C303,252,85,124
2024-05-26,C303,960,25,118
2024-05-27,C303,995,99,148
2024-05-28,A101,977,99,74
2024-05-29,A101,437,57,25
2024-05-30,B202,805,94,114
2024-05-31,A101,921,48,121
2024-06-01,C303,262,42,22
2024-06-02,C303,819,32,42
2024-06-03,A101,780,19,72
2024-06-04,C303,260,78,102
2024-06-05,C303,679,43,104
2024-06-06,A101,900,61,97
2024-06-07,A101,497,19,129
2024-06-08,C303,376,28,20
2024-06-09,C303,915,67,70
2024-06-10,C303,603,10,23
2024-06-11,B202,995,78,132
2024-06-12,B202,491,13,51
2024-06-13,B202,234,25,53
2024-06-14,A101,294,33,111
2024-06-15,B202,500,89,114
2024-06-16,A101,739,11,91
2024-06-17,A101,132,41,58
2024-06-18,B202,787,93,137
2024-06-19,B202,559,33,22
2024-06-20,B202,982,21,142
2024-06-21,C303,569,59,69
2024-06-22,B202,474,44,31
2024-06-23,C303,121,42,73
2024-06-24,A101,849,42,76
2024-06-25,C303,769,70,131
2024-06-26,B202,137,60,66
2024-06-27,A101,329,52,104
2024-06-28,A101,464,21,85
